{'embedding_size': 256, 'dim_feedforward': 256, 'hidden_size': 256, 'n_heads_attention': 4, 'n_encoders': 6, 'n_decoders': 6, 'learning_rate': 0.0001, 'dropout': 0.1, 'epoch_num': 30, 'try_one_batch': False}
{'val_loss': 7.252819061279297, 'train_loss': 7.265607251061334, 'bleu_score': 0.0}
{'val_loss': 7.537933349609375, 'train_loss': 4.643445253372192, 'bleu_score': 0.0}
{'val_loss': 6.967462062835693, 'train_loss': 3.6479930877685547, 'bleu_score': 0.0}
{'val_loss': 6.861637115478516, 'train_loss': 3.2777066230773926, 'bleu_score': 0.0}
{'val_loss': 6.7156081199646, 'train_loss': 2.9927694267696805, 'bleu_score': 0.0}
{'val_loss': 7.0115015506744385, 'train_loss': 2.726818905936347, 'bleu_score': 0.0}
{'val_loss': 6.985486268997192, 'train_loss': 2.594821400112576, 'bleu_score': 0.0}
{'val_loss': 6.955907821655273, 'train_loss': 2.5373072624206543, 'bleu_score': 0.0}
{'val_loss': 7.238815069198608, 'train_loss': 2.4573620160420737, 'bleu_score': 0.0}
{'val_loss': 7.048415422439575, 'train_loss': 2.417660713195801, 'bleu_score': 0.0}
{'val_loss': 7.130772829055786, 'train_loss': 2.369591368569268, 'bleu_score': 0.0}
{'val_loss': 7.014353513717651, 'train_loss': 2.3500781853993735, 'bleu_score': 0.0}
{'val_loss': 6.834373950958252, 'train_loss': 2.3328948815663657, 'bleu_score': 0.0}
{'val_loss': 6.685901641845703, 'train_loss': 2.3167635599772134, 'bleu_score': 0.0}
{'val_loss': 7.047084808349609, 'train_loss': 2.2930984761979847, 'bleu_score': 0.0}
{'val_loss': 6.9357709884643555, 'train_loss': 2.2684112389882407, 'bleu_score': 0.0}
{'val_loss': 6.863641262054443, 'train_loss': 2.253895971510145, 'bleu_score': 0.0}
{'val_loss': 6.741652727127075, 'train_loss': 2.2532698843214245, 'bleu_score': 0.0}
{'val_loss': 6.760028123855591, 'train_loss': 2.2288975715637207, 'bleu_score': 0.0}
{'val_loss': 6.833904981613159, 'train_loss': 2.2159410317738852, 'bleu_score': 0.0}
{'val_loss': 6.6893908977508545, 'train_loss': 2.215357939402262, 'bleu_score': 0.0}
{'val_loss': 6.636195182800293, 'train_loss': 2.212783204184638, 'bleu_score': 0.0}
{'val_loss': 6.7085487842559814, 'train_loss': 2.194703605439928, 'bleu_score': 0.0}
{'val_loss': 6.646286249160767, 'train_loss': 2.1784745587242975, 'bleu_score': 0.0}
{'val_loss': 6.688326120376587, 'train_loss': 2.1710694630940757, 'bleu_score': 0.0}
{'val_loss': 6.533524513244629, 'train_loss': 2.1589661969078913, 'bleu_score': 0.0}
{'val_loss': 6.245148658752441, 'train_loss': 2.1696803039974637, 'bleu_score': 0.0}
{'val_loss': 6.372626543045044, 'train_loss': 2.1543233924441867, 'bleu_score': 0.0}
{'val_loss': 6.206664085388184, 'train_loss': 2.1496338844299316, 'bleu_score': 0.0}
{'val_loss': 6.228094816207886, 'train_loss': 2.145270691977607, 'bleu_score': 0.0}
